eventID,fieldID,partnerID,continent,country,county,waterBody,localitySite,localityID,verbatimLocality,decimalLatitude,decimalLongitude,minimumElevationInMeters,recordedBy,year,month,day,eventTime,samplingProtocol,pumpType,numberReplicates,sampleVolumeInMillilitres,remarks,conductivity,pH,temperature
TAFIRI-2020.07.04-KILO14-C,KILO14-C,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Magufuli bridge pont C,-8.19075,36.690433,246,Asilatu Shechonge,2020,7,4,11:15:00,Sterivex-0.22,Syringe 50 mL,3,200,,49,7.39,24.3
TAFIRI-2020.07.04-KILO14-D,KILO14-D,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Magufuli bridge pont D,-8.189783,36.6944,248,Asilatu Shechonge,2020,7,4,11:30:00,Sterivex-0.22,Syringe 50 mL,3,150,,49.1,8.15,24.4
TAFIRI-2020.07.04-KILO14-E,KILO14-E,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Magufuli bridge pont E,-8.189367,36.697833,248,Asilatu Shechonge,2020,7,4,11:38:00,Sterivex-0.22,Syringe 50 mL,3,150,,49.6,7.67,24.3
TAFIRI-2020.07.04-KILO14-F,KILO14-F,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Magufuli bridge pont F,-8.1899,36.697583,247,Asilatu Shechonge,2020,7,4,11:45:00,Sterivex-0.22,Syringe 50 mL,3,150,,49.1,7.66,24.4
TAFIRI-2020.07.04-KILO14-G,KILO14-G,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Magufuli bridge pont G,-8.19095,36.697583,247,Asilatu Shechonge,2020,7,4,11:55:00,Sterivex-0.22,Syringe 50 mL,3,150,,NA,NA,24.7
TAFIRI-2020.07.04-KILO15,KILO15,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Kikwawila ,-8.093283,36.720628,262,Asilatu Shechonge,2020,7,4,17:50:00,Sterivex-0.22,Syringe 50 mL,3,150,,89.7,7.42,24.5
TAFIRI-2020.07.04-KILO16,KILO16,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Kisawasawa,-7.895233,36.872233,295,Asilatu Shechonge,2020,7,4,19:20:00,Sterivex-0.22,Syringe 50 mL,3,150,,36.4,8.42,21.4
TAFIRI-2020.07.23-SITE1,SITE1,TAFIRI,Africa,Tanzania,Pwani Region,Rufiji River,,,Rufiji river at Mloka,-7.842567,38.362167,47,Asilatu Shechonge,2020,7,23,09:50:00,Sterivex-0.22,Syringe 50 mL,3,200,,102.4,6.41,24.8
TAFIRI-2020.07.23-SITE2,SITE2,TAFIRI,Africa,Tanzania,Pwani Region,Rufiji River,,,Mtanzamsoma ox-lake,-7.8426,38.362167,49,Asilatu Shechonge,2020,7,23,10:10:00,Sterivex-0.22,Syringe 50 mL,3,200,,140.3,6.41,25.3
TAFIRI-2020.07.23-SITE3,SITE3,TAFIRI,Africa,Tanzania,Pwani Region,Rufiji River,,,Zumbi oxbow lake,-7.867633,38.491333,38,Asilatu Shechonge,2020,7,23,10:58:00,Sterivex-0.22,Syringe 50 mL,3,150,,87.5,6.34,24.6
TAFIRI-2020.07.23-SITE4,SITE4,TAFIRI,Africa,Tanzania,Pwani Region,Rufiji River,,,Ruwe oxbow lake point A,-7.9066,38.797533,12,Asilatu Shechonge,2020,7,23,12:09:00,Sterivex-0.22,Syringe 50 mL,3,200,,124.9,6.28,25.2
TAFIRI-2020.07.23-SITE5,SITE5,TAFIRI,Africa,Tanzania,Pwani Region,Rufiji River,,,Ruweoxbow lake point b,-7.914283,38.859883,15,Asilatu Shechonge,2020,7,23,12:35:00,Sterivex-0.22,Syringe 50 mL,3,150,,152.6,6.02,25.4
TAFIRI-2020.07.23-SITE6,SITE6,TAFIRI,Africa,Tanzania,Pwani Region,Rufiji River,,,Huba oxbow lake,-7.9389,38.927683,13,Asilatu Shechonge,2020,7,23,13:05:00,Sterivex-0.22,Syringe 50 mL,3,150,,104.3,5.86,24.6
TAFIRI-2020.07.24-SITE7,SITE7,TAFIRI,Africa,Tanzania,Pwani Region,Rufiji River,,,Lugongwe oxbow lake,-7.99155,38.748017,29,Asilatu Shechonge,2020,7,24,08:57:00,Sterivex-0.22,Syringe 50 mL,3,100,,702.1,5.86,25
TAFIRI-2020.07.24-SITE8,SITE8,TAFIRI,Africa,Tanzania,Pwani Region,Rufiji River,,,Utete ferry,-7.98565,38.765883,24,Asilatu Shechonge,2020,7,24,10:33:00,Sterivex-0.22,Syringe 50 mL,3,150,,109.2,6.53,24.8
TAFIRI-2020.07.24-SITE9,SITE9,TAFIRI,Africa,Tanzania,Pwani Region,Rufiji River,,,Chemchem oxbow lake,-8.007,38.7714,24,Asilatu Shechonge,2020,7,24,11:10:00,Sterivex-0.22,Syringe 50 mL,3,200,,6.5,5.94,26.5
TAFIRI-2020.07.24-SITE10,SITE10,TAFIRI,Africa,Tanzania,Pwani Region,Rufiji River,,,Weme oxbow lake,-8.871633,38.878367,12,Asilatu Shechonge,2020,7,24,14:38:00,Sterivex-0.22,Syringe 50 mL,3,150,,5,7.18,24.6
TAFIRI-2020.07.25-SITE11,SITE11,TAFIRI,Africa,Tanzania,Pwani Region,Rufiji River,,,Mkapa bridge ,-8.0115,38.9687,20,Asilatu Shechonge,2020,7,25,09:00:00,Sterivex-0.22,Syringe 50 mL,3,150,,102.3,7.92,24.5
TAFIRI-2020.07.25-SITE12,SITE12,TAFIRI,Africa,Tanzania,Pwani Region,Rufiji River,,,Mkapa bridge downstream,-8.9772,38.972433,14,Asilatu Shechonge,2020,7,25,09:30:00,Sterivex-0.22,Syringe 50 mL,3,150,,103.4,8.4,24.5
TAFIRI-2020.07.25-SITE13,SITE13,TAFIRI,Africa,Tanzania,Pwani Region,Rufiji River,,,Mkapa bridge upstream,-8.012983,38.967217,13,Asilatu Shechonge,2020,7,25,10:00:00,Sterivex-0.22,Syringe 50 mL,3,150,,102.3,8.27,24.4
TAFIRI-2020.07.25-SITE14,SITE14,TAFIRI,Africa,Tanzania,Pwani Region,Rufiji River,,,Darajani (Ikwiriri bridge) ,-7.9743,38.989567,17,Asilatu Shechonge,2020,7,25,11:30:00,Sterivex-0.22,Syringe 50 mL,3,250,,229.9,7.15,26.8
TAFIRI-2020.07.25-SITE15,SITE15,TAFIRI,Africa,Tanzania,Pwani Region,Rufiji River,,,Umwe oxbow lake,-7.946183,38.997667,10,Asilatu Shechonge,2020,7,25,12:30:00,Sterivex-0.22,Syringe 50 mL,3,250,,NA,NA,NA
TAFIRI-2020.07.25-SITE16,SITE16,TAFIRI,Africa,Tanzania,Pwani Region,Rufiji River,,,Lake Manze (Mansi),-7.31085,39.0636,64,Asilatu Shechonge,2020,7,25,16:37:00,Sterivex-0.22,Syringe 50 mL,3,250,,317.6,6.1,24.9
